Distance (in),Trial 1 (s),Trial 2 (s),Trial 3 (s),Trial 4 (s),Trial 5 (s)
0,0.0,0.0,0.0,0.0,0.0
6,0.738,0.673,0.667,0.741,0.665
12,0.929,0.926,0.909,0.924,0.948
18,0.939,0.974,0.943,0.928,0.985
24,1.125,1.068,1.049,1.121,1.024
30,1.228,1.215,1.203,1.244,1.251
36,1.392,1.361,1.332,1.387,1.452
42,1.553,1.497,1.481,1.562,1.561
48,1.681,1.628,1.642,1.703,1.672
54,1.783,1.745,1.761,1.789,1.787
60,1.875,1.846,1.823,1.901,1.89
66,1.951,1.926,1.938,1.974,1.964
72,2.035,2.006,2.018,2.061,2.055
78,2.119,2.091,2.102,2.141,2.139
84,2.192,2.161,2.174,2.226,2.208
90,2.251,2.217,2.231,2.272,2.258
