Distance (in),Trial 1 (s),Trial 2 (s),Trial 3 (s),Trial 4 (s),Trial 5 (s)
0,0.0,0.0,0.0,0.0,0.0
6,0.46,0.66,0.56,0.84,1.12
12,0.85,0.93,0.97,1.03,1.22
18,0.97,0.9,1.0,1.19,1.34
24,1.13,1.12,1.28,1.28,1.22
30,1.15,1.28,1.44,1.44,1.5
36,1.34,1.5,1.47,1.56,1.69
42,1.62,1.56,1.69,1.65,1.69
48,1.87,1.75,1.72,1.81,1.88
54,1.78,1.75,1.84,1.88,2.0
60,1.87,1.84,1.75,1.88,2.0
66,1.97,2.03,1.97,2.03,2.19
72,2.16,2.06,1.97,2.15,2.15
78,2.0,2.16,2.22,2.13,2.31
84,2.19,2.25,2.28,2.38,2.47
90,,2.28,2.31,2.47,2.41
